key	value
hermit_greeting_01	Hmph. A face I don’t know.
hermit_greeting_02	Most folk keep to the village — wiser, maybe. The mud out here keeps its own counsel.
hermit_who_01	No one worth a name anymore. I came to the marsh to be forgotten, and it obliged.
hermit_marsh_01	Old things. Sunken things. Tread careful where the water goes still.
hermit_join_01	Hah. Been a long while since anyone asked. ...Aye. Better than rotting in the mud alone. Lead on, then — I’ll make my way to your fire.
hermit_farewell_01	Aye. Mind the deep water.
hermit_topics_who	Who are you?
hermit_topics_marsh	What's out here?
hermit_topics_join	Come with me. There’s nothing left for you out here.
hermit_topics_farewell	I'll leave you be.
